Series Name,Series Code,Country Name,Country Code,2016 [YR2016]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,34700612
"Population, total",SP.POP.TOTL,Albania,ALB,2689469
"Population, total",SP.POP.TOTL,Algeria,DZA,40850721
"Population, total",SP.POP.TOTL,American Samoa,ASM,52245
"Population, total",SP.POP.TOTL,Andorra,AND,72181
"Population, total",SP.POP.TOTL,Angola,AGO,29183070
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,89969
"Population, total",SP.POP.TOTL,Argentina,ARG,43900313
"Population, total",SP.POP.TOTL,Armenia,ARM,2992300
"Population, total",SP.POP.TOTL,Aruba,ABW,108727
"Population, total",SP.POP.TOTL,Australia,AUS,24190907
"Population, total",SP.POP.TOTL,Austria,AUT,8736668
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,9757812
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,388055
"Population, total",SP.POP.TOTL,Bahrain,BHR,1423726
"Population, total",SP.POP.TOTL,Bangladesh,BGD,160811932
"Population, total",SP.POP.TOTL,Barbados,BRB,279598
"Population, total",SP.POP.TOTL,Belarus,BLR,9469379
"Population, total",SP.POP.TOTL,Belgium,BEL,11331422
"Population, total",SP.POP.TOTL,Belize,BLZ,364705
"Population, total",SP.POP.TOTL,Benin,BEN,11697842
"Population, total",SP.POP.TOTL,Bermuda,BMU,63449
"Population, total",SP.POP.TOTL,Bhutan,BTN,747866
"Population, total",SP.POP.TOTL,Bolivia,BOL,11180020
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3473003
"Population, total",SP.POP.TOTL,Botswana,BWA,2234776
"Population, total",SP.POP.TOTL,Brazil,BRA,203218114
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,33878
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,427564
"Population, total",SP.POP.TOTL,Bulgaria,BGR,6894139
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,19334856
"Population, total",SP.POP.TOTL,Burundi,BDI,11239451
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,512554
