Country Name;2016 [YR2016]
Afghanistan;34700612.0
Albania;2689469.0
Algeria;40850721.0
American Samoa;52245.0
Andorra;72181.0
Angola;29183070.0
Antigua and Barbuda;89969.0
Argentina;43900313.0
Armenia;2992300.0
Aruba;108727.0
Australia;24190907.0
Austria;8736668.0
Azerbaijan;9757812.0
Bahamas, The;388055.0
Bahrain;1423726.0
Bangladesh;160811932.0
Barbados;279598.0
Belarus;9469379.0
Belgium;11331422.0
Belize;364705.0
Benin;11697842.0
Bermuda;63449.0
Bhutan;747866.0
Bolivia;11180020.0
Bosnia and Herzegovina;3473003.0
Botswana;2234776.0
Brazil;203218114.0
British Virgin Islands;33878.0
Brunei Darussalam;427564.0
Bulgaria;6894139.0
Burkina Faso;19334856.0
Burundi;11239451.0
Cabo Verde;512554.0
Cambodia;15852803.0
Cameroon;23454161.0
Canada;36110803.0
Cayman Islands;63100.0
Central African Republic;4713663.0
Chad;15114655.0
Channel Islands;163883.0
Chile;18267221.0
China;1387790000.0
Colombia;47437512.0
Comoros;741741.0
Congo, Dem. Rep.;83956415.0
Congo, Rep.;5222536.0
Costa Rica;4866998.0
Cote d'Ivoire;25989405.0
Croatia;4106867.0
Cuba;11265612.0
Curacao;159664.0
Cyprus;1237112.0
Czechia;10566332.0
Denmark;5728010.0
Djibouti;1037653.0
Dominica;69606.0
Dominican Republic;10551430.0
Ecuador;16505139.0
Egypt, Arab Rep.;101644589.0
El Salvador;6200800.0
Equatorial Guinea;1508186.0
Eritrea;3124698.0
Estonia;1315790.0
Ethiopia;106718162.0
Faroe Islands;49464.0
Fiji;919166.0
Finland;5495303.0
France;66724104.0
French Polynesia;279178.0
Gabon;2100306.0
Gambia, The;2283769.0
Georgia;3727505.0
Germany;82348669.0
Ghana;29356742.0
Gibraltar;33658.0
Greece;10775971.0
Greenland;56186.0
Grenada;115130.0
Guam;164233.0
Guatemala;16268760.0
Guinea;12073030.0
Guinea-Bissau;1831893.0
Guyana;763548.0
Haiti;10671457.0
Honduras;9412380.0
Hong Kong SAR, China;7336600.0
Hungary;9759755.0
Iceland;335439.0
India;1343944296.0
Indonesia;264627418.0
Iran, Islamic Rep.;83812228.0
Iraq;38469627.0
Ireland;4762722.0
Isle of Man;83466.0
Israel;8546000.0
Italy;60115223.0
Jamaica;2809915.0
Japan;127076000.0
Jordan;10006367.0
Kazakhstan;18363600.0
Kenya;48139687.0
Kiribati;118478.0
Korea, Dem. People's Rep.;25698326.0
Korea, Rep.;51217803.0
Kosovo;1777568.0
Kuwait;4004096.0
Kyrgyz Republic;6175338.0
Lao PDR;6908802.0
Latvia;1959537.0
Lebanon;6323060.0
Lesotho;2130422.0
Liberia;4755608.0
Libya;6632126.0
Liechtenstein;37716.0
Lithuania;2877325.0
Luxembourg;582014.0
Macao SAR, China;652500.0
North Macedonia;1906313.0
Madagascar;26099952.0
Malawi;17557739.0
Malaysia;31789685.0
Maldives;443308.0
Mali;19191289.0
Malta;454505.0
Marshall Islands;47709.0
Mauritania;4086657.0
Mauritius;1263747.0
Mexico;122251351.0
Micronesia, Fed. Sts.;109075.0
Moldova;2803186.0
Monaco;37276.0
Mongolia;3088856.0
Montenegro;625353.0
Morocco;35023457.0
Mozambique;27337105.0
Myanmar;51495696.0
Namibia;2439213.0
Nauru;11150.0
Nepal;27955462.0
Netherlands;17030314.0
New Caledonia;283423.0
New Zealand;4714100.0
Nicaragua;6232666.0
Niger;20685753.0
Nigeria;195443700.0
Northern Mariana Islands;50773.0
Norway;5234519.0
Oman;4390877.0
Pakistan;220138869.0
Palau;17797.0
Panama;4029086.0
Papua New Guinea;8961718.0
Paraguay;6249126.0
Peru;30866494.0
Philippines;106735719.0
Poland;37970087.0
Portugal;10325452.0
Puerto Rico (US);3480432.0
Qatar;2477113.0
Romania;19702267.0
Russian Federation;145015460.0
Rwanda;11919183.0
Samoa;203499.0
San Marino;33101.0
Sao Tome and Principe;203689.0
Saudi Arabia;30954198.0
Senegal;15034521.0
Serbia;7058322.0
Seychelles;94677.0
Sierra Leone;7205328.0
Singapore;5607283.0
Sint Maarten (Dutch part);38249.0
Slovak Republic;5430798.0
Slovenia;2065042.0
Solomon Islands;662379.0
Somalia, Fed. Rep.;14348740.0
South Africa;57259551.0
South Sudan;10830102.0
Spain;46458139.0
Sri Lanka;21209000.0
St. Kitts and Nevis;47075.0
St. Lucia;175646.0
St. Martin (French part);37175.0
St. Vincent and the Grenadines;106349.0
Sudan;41259892.0
Suriname;587757.0
Eswatini;1149507.0
Sweden;9923085.0
Switzerland;8373338.0
Syrian Arab Republic;19193834.0
Tajikistan;8865631.0
Tanzania;53824013.0
Thailand;70859841.0
Timor-Leste;1228312.0
Togo;7858289.0
Tonga;105524.0
Trinidad and Tobago;1353895.0
Tunisia;11528674.0
Turkiye;79277962.0
Turkmenistan;6360041.0
Turks and Caicos Islands;38315.0
Tuvalu;10930.0
Uganda;38799152.0
Ukraine;45616832.0
United Arab Emirates;8935095.0
United Kingdom;65607000.0
United States;324353340.0
Uruguay;3379283.0
Uzbekistan;31284568.0
Vanuatu;272087.0
Venezuela, RB;30765720.0
Viet Nam;94000117.0
Virgin Islands (U.S.);107516.0
West Bank and Gaza;4367088.0
Yemen, Rep.;32109010.0
Zambia;16914423.0
Zimbabwe;14600294.0
Afghanistan;652860.0
Albania;28750.0
Algeria;2381741.0
Andorra;470.0
Angola;1246700.0
Antigua and Barbuda;440.0
Argentina;2780400.0
Armenia;29740.0
Australia;7741220.0
Austria;83879.0
Azerbaijan;86600.0
Bahamas, The;13880.0
Bahrain;779.0
Bangladesh;147630.0
Barbados;430.0
Belarus;207600.0
Belgium;30528.0
Belize;22970.0
Benin;114760.0
Bermuda;4290.0
Bhutan;38394.0
Bolivia;1098580.0
